titulo,precio,link,marca,imagen,empresa,fecha,id
Apple iPhone 14 Pro Max (256 GB) - Morado oscuro,5590000,https://www.mercadolibre.com.co/apple-iphone-14-pro-max-256-gb-morado-oscuro/p/MCO19615354?pdp_filters=category:MCO1055#searchVariation=MCO19615354&position=1&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1991235718
iPhone 14 128 GB amarillo,3569900,https://www.mercadolibre.com.co/iphone-14-128-gb-amarillo/p/MCO24156591?pdp_filters=category:MCO1055#searchVariation=MCO24156591&position=2&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1931210558
Apple iPhone 14 Pro Max 128 GB Morado oscuro,5490000,https://www.mercadolibre.com.co/apple-iphone-14-pro-max-128-gb-morado-oscuro/p/MCO19615329?pdp_filters=category:MCO1055#searchVariation=MCO19615329&position=3&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1991235660
Apple iPhone 14 Pro (128 GB) - Negro espacial,5226306,https://www.mercadolibre.com.co/apple-iphone-14-pro-128-gb-negro-espacial/p/MCO19615330?pdp_filters=category:MCO1055#searchVariation=MCO19615330&position=4&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1196968217
Apple iPhone 14 (256 GB) - Morado,4690000,https://www.mercadolibre.com.co/apple-iphone-14-256-gb-morado/p/MCO19615346?pdp_filters=category:MCO1055#searchVariation=MCO19615346&position=5&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1785825040
Apple iPhone 14 Pro (256 GB) - Negro espacial,5299900,https://www.mercadolibre.com.co/apple-iphone-14-pro-256-gb-negro-espacial/p/MCO19615357?pdp_filters=category:MCO1055#searchVariation=MCO19615357&position=6&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1905296082
Apple iPhone 14 Pro (512 GB) - Morado oscuro,6949999,https://www.mercadolibre.com.co/apple-iphone-14-pro-512-gb-morado-oscuro/p/MCO19615320?pdp_filters=category:MCO1055#searchVariation=MCO19615320&position=7&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1883593494
Apple iPhone 14 Pro Max (512 GB) - Morado oscuro,6550000,https://www.mercadolibre.com.co/apple-iphone-14-pro-max-512-gb-morado-oscuro/p/MCO19615364?pdp_filters=category:MCO1055#searchVariation=MCO19615364&position=8&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1291006163
Apple iPhone 14 Pro Max (1 TB) - Color plata,7809000,https://www.mercadolibre.com.co/apple-iphone-14-pro-max-1-tb-color-plata/p/MCO19615369?pdp_filters=category:MCO1055#searchVariation=MCO19615369&position=9&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1338564543
Apple iPhone 14 Pro (1 TB) - Color oro,6999999,https://www.mercadolibre.com.co/apple-iphone-14-pro-1-tb-color-oro/p/MCO19615343?pdp_filters=category:MCO1055#searchVariation=MCO19615343&position=10&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1883604844
Apple iPhone 14 (512 GB) - Morado,4479000,https://www.mercadolibre.com.co/apple-iphone-14-512-gb-morado/p/MCO19615374?pdp_filters=category:MCO1055#searchVariation=MCO19615374&position=11&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1963550110
Apple iPhone 14 Plus (128 GB) - Medianoche,5399900,https://www.mercadolibre.com.co/apple-iphone-14-plus-128-gb-medianoche/p/MCO19615345?pdp_filters=category:MCO1055#searchVariation=MCO19615345&position=12&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1304861272
Apple iPhone 14 Plus (256 GB) - Morado,4776500,https://www.mercadolibre.com.co/apple-iphone-14-plus-256-gb-morado/p/MCO19615366?pdp_filters=category:MCO1055#searchVariation=MCO19615366&position=13&search_layout=stack&type=product&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1102206828
Apple iPhone 14 Pro 256 Gb - Morado Oscuro Celular Libre,7999000,https://articulo.mercadolibre.com.co/MCO-1150812258-apple-iphone-14-pro-256-gb-morado-oscuro-celular-libre-_JM#position=14&search_layout=stack&type=item&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1150812258
iPhone 14 Pro Max De 256 Gb - Color Plata,10309810,https://articulo.mercadolibre.com.co/MCO-1560230166-iphone-14-pro-max-de-256-gb-color-plata-_JM#position=15&search_layout=stack&type=item&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1560230166
Apple iPhone 14 Pro Max A2894 6gb 1tb,12599000,https://articulo.mercadolibre.com.co/MCO-1237239374-apple-iphone-14-pro-max-a2894-6gb-1tb-_JM#position=16&search_layout=stack&type=item&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1237239374
Apple iPhone 14 Pro Max A2896 6gb 1tb Dual Sim Duos,12819000,https://articulo.mercadolibre.com.co/MCO-1666996070-apple-iphone-14-pro-max-a2896-6gb-1tb-dual-sim-duos-_JM#position=17&search_layout=stack&type=item&tracking_id=d7425eed-0e49-4618-9917-21be614a5b12,iPhone,https://http2.mlstatic.com/D_NQ_NP_605126-MLM51559383638_092022-V.webp,Mercado Libre,2023-10-28 20:40:02.364496,MCO1666996070
