titulo,precio,link,marca,imagen,empresa,fecha,id
Consola Ps5 Digital + Fifa 23,2999900,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=SsPsgDEy1TEfs59s53WLq9Oi6ND%2FCSvHOLYHIkCKWDsOaUeYZkxHTVZM2ritLtedEHmcbwCGxocxUexhocfIoAI6xr25bqigEQ7Jw%2BeHlqMRhs6sI8zeUDj%2BLFLr8Wod8t%2F6RqVKm2fjGprYWRCITBrf50MP0Cb%2BA9Qt%2BtQ2r5hLZRgI3RF%2FLrlRcstfmrEIa9Dg5Y%2FgolelJQqI%2B5Tk%2FmDs9g%2Ff6sUzp%2BLn4Gex7y0BISUqDe0iVLGenJJwvZMTgtkertjxKYl%2F509xUkD5GhrcD%2B00TKu8CPXNodBseUjfHPhijA9W1Re9qXS0y62%2BelnZN37%2BssiNAiRlIMD%2Fip%2Bga%2Bu3%2BKYvRO2e2XpTg76JyW6xIwc3Z8znFTJ%2BOoZ9jJFn2SJZEgs1YT%2FtMD%2FK59wmkfhCVn9lHb1MhMDSL0BxiJ1%2BkAGbYs%2Fi0JcfQbMh9%2BkNbHhOo1IO61KE1X4uC7TOkmWh4o5%2B8PxcMFtUfdn41Na7UQsTyLX%2BIGGRbjsoZwvgWgJ4kbhfKQ2netvBGJM0rRzi3VFXJx5cRoGk1vCsU5ea0HmD9WiosYfDAUmSxa5PJYwgnowwPkuMJC1n92YO1WWotdZ09W8ajlbwk0NHkPO9Clq%2F%2BwJfF78BdcFxG%2FKr%2FWAwcJs48ITp2QBDLR1b3J2zuSWNdPNclHPHqSWD4%2BqzXQJ8P6Nd8WKxWlzKf6qyAYWyQbgXBCXyqXy8gTwWJkDrUwbR%2FHbB7yQWvX3GkX9ZtmWr95ZbmK42E7giSE1vQJYEzLQ%3D&e=mclics%2Fadvertising-results-augmenter-on%2B15097%2Cmclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fpads-score-mla%2B17263%2Cmclics%2Fbuybox-threshold%2B24613%2Cmclics%2Flax-top-domain%2B23443&rb=x,Otra,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1330018449
Sony PlayStation 5 Digital 825GB God of War Ragnarok Bundle color blanco y negro,2492066,https://www.mercadolibre.com.co/sony-playstation-5-digital-825gb-god-of-war-ragnarok-bundle-color-blanco-y-negro/p/MCO20962350?pdp_filters=category:MCO2931#searchVariation=MCO20962350&position=2&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1265906579
Sony PlayStation 5 825GB Standard Version Lector Disco color blanco y negro,2569900,https://www.mercadolibre.com.co/sony-playstation-5-825gb-standard-version-lector-disco-color-blanco-y-negro/p/MCO16171888?pdp_filters=category:MCO2931#searchVariation=MCO16171888&position=3&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO657145240
Sony PlayStation 5 825GB Digital Edition color blanco y negro,2419900,https://www.mercadolibre.com.co/sony-playstation-5-825gb-digital-edition-color-blanco-y-negro/p/MCO16253015?pdp_filters=category:MCO2931#searchVariation=MCO16253015&position=4&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO835728329
Kit Playstation5 Estandar God Of War Ragnarok (voucher) Color Blanco/Negro,2679900,https://www.mercadolibre.com.co/kit-playstation5-estandar-god-of-war-ragnarok-voucher-color-blanconegro/p/MCO19917557?pdp_filters=category:MCO2931#searchVariation=MCO19917557&position=5&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Otra,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1147430217
Sony PlayStation 5 825GB Horizon Forbidden West Bundle color blanco y negro,2756422,https://www.mercadolibre.com.co/sony-playstation-5-825gb-horizon-forbidden-west-bundle-color-blanco-y-negro/p/MCO19038334?pdp_filters=category:MCO2931#searchVariation=MCO19038334&position=6&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1036710624
Sony PlayStation 5 825GB Marvel’s Spider Man 2 Limited Edition color rojo y negro,3794990,https://www.mercadolibre.com.co/sony-playstation-5-825gb-marvels-spider-man-2-limited-edition-color-rojo-y-negro/p/MCO26081587?pdp_filters=category:MCO2931#searchVariation=MCO26081587&position=7&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1916077138
Sony PlayStation 5 825GB FIFA 23 Bundle color blanco y negro,2677000,https://www.mercadolibre.com.co/sony-playstation-5-825gb-fifa-23-bundle-color-blanco-y-negro/p/MCO19731774?pdp_filters=category:MCO2931#searchVariation=MCO19731774&position=8&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1943125118
Sony PlayStation 5 Físico 825GB EA SPORTS FC 24 color blanco,2899900,https://www.mercadolibre.com.co/sony-playstation-5-fisico-825gb-ea-sports-fc-24-color-blanco/p/MCO27437553?pdp_filters=category:MCO2931#searchVariation=MCO27437553&position=9&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1349646399
Sony PlayStation 5 825GB Extra DualSense Wireless Controller Bundle color blanco y negro,2969100,https://www.mercadolibre.com.co/sony-playstation-5-825gb-extra-dualsense-wireless-controller-bundle-color-blanco-y-negro/p/MCO26788005?pdp_filters=category:MCO2931#searchVariation=MCO26788005&position=10&search_layout=stack&type=product&tracking_id=25fdac0e-a9e0-4028-bb72-7d7aca24af44,Sony,https://http2.mlstatic.com/D_NQ_NP_765282-MLU69728267114_052023-V.webp,Mercado Libre,2023-11-13 17:04:00.488607,MCO1983065962
